group,victim,attackdate,country,activity,sector,website,description
qilin,Essential Cabinetry Group,2025-10-25 00:00:00.000000,,Manufacturing,,,"Simpsonville, SC-based Essential Cabinetry is a manufacturer of custom, semi-custom and stock-plus kitchen and bathroom cabinetry that is sold primarily through the dealer channel. Through its three market-leading brands (Tedd Wood Fine Cabin            ..."
qilin,Gericke AG,2025-10-23 00:00:00.000000,CH,Manufacturing,,,"The Swiss Gericke Group has been designing and manufacturing equipment and systems for modern bulk material processes, as well as providing design and consultation services, for more than 125 years. Gericke bulk materials processing technolog            ..."
qilin,Northern Light Technologies,2025-10-22 00:00:00.000000,CA,Technology,,,"Founded in 1984, Northern Light Technologies (NLT) designs and manufactures underground lighting and networking solutions for the mining and tunnelling industries with manufacturing/assembly locations in Canada, Australia and Chile. Northern             ..."
qilin,KHL Printing,2025-10-22 00:00:00.000000,SG,Manufacturing,,,"KHL Printing, Singapore -  one of the largest printing companies in Southeast Asia with the most comprehensive range of services. KHL Printing offers end-to-end solutions from conceptualization to delivery of print products and other platform            ..."
qilin,Grupo Promasa,2025-10-22 00:00:00.000000,MX,Manufacturing,,,"Grupo Promasa is a company that operates in the Building Materials industry. It employs 250to499 people and has 10Mto25M of revenue. The company is headquartered in San Pedro Sula, Cortes, Honduras. The amount of downloaded data is unknown at            ..."
qilin,"Signet Armorlite, Inc.",2025-10-22 00:00:00.000000,US,Manufacturing,,,"Founded in 1947, Signet Armorlite, Inc., an optical company, designs and manufactures glass ophthalmic lenses and molds. It also distributes lenses worldwide and adhesive optical supply products in the United States. Signet Armorlite is headq            ..."
qilin,Integral Networks,2025-10-22 00:00:00.000000,US,Technology,,,"Integral Networks, Inc. is a leading IT services provider in Sacramento, specializing in responsive IT support tailored to the needs of legal firms and various other industries including construction, manufacturing, and finance. They offer a             ..."
qilin,Octomeca OY,2025-10-19 00:00:00.000000,FI,Not Found,,,"Octomeca Oy specializes in load protection solutions for transportation and warehousing, offering a range of stretch film wrapping machines designed to meet demanding packaging challenges. Their products include various series of wrapping mac            ..."
qilin,Winholt Equipment Group,2025-10-19 00:00:00.000000,US,Manufacturing,,,"Winholt Equipment Group, founded in 1946 and headquartered in Woodbury, New York, is a manufacturer of food service, food handling, and material handling equipment.
As a multiple-facilities manufacturer, we have the resources to quickly reac            ..."
qilin,Klima-Therm,2025-10-19 00:00:00.000000,PL,Manufacturing,,,"The Company provides innovative air-conditioning, ventilation, cooling and heating solutions and is rapidly growing its business in the Renewable Energy Sources (RES) segment. The flagship brands distributed by Klima-Therm include: Fujitsu, K            ..."
qilin,Stephenson's Rental Services,2025-10-19 00:00:00.000000,CA,Business Services,,,"Stephenson's Rental Services is a Canadian construction equipment and tool rental company that has been operating for over 70 years. The company provides a wide range of rentals, including construction equipment, scaffolding, and small tools,            ..."
qilin,Durvet,2025-10-17 00:00:00.000000,US,Manufacturing,,,N/A
qilin,pcdpackaging.com,2025-10-16 00:00:00.000000,US,Manufacturing,,,"Development of customized industrial packaging. Single-use racks, export packaging, packaging for power units, specialized packaging, packaging for sea containers.
1.The document is an official bank statement from PCD Packaging de México S.            ..."
qilin,dalton.com,2025-10-16 00:00:00.000000,,Not Found,,,"Founded in 1986, Dalton Pharma Services is a contract pharmaceutical company providing a full range of development and manufacturing services to pharmaceutical and research companies worldwide.
1.The document is a bank statement from MUFG Ba            ..."
qilin,Tong Yang Group,2025-10-15 00:00:00.000000,TW,Manufacturing,,,"Tong Yang Group is a manufacturer of automotive plastics, sheet metal, and cooling products, as well as motorcycle plastics products, molds, and paints. The company was founded in 1952 and is headquartered in Tainan, Taiwan."
qilin,Florida Marking Products,2025-10-15 00:00:00.000000,US,Manufacturing,,,"The Kennedy Group, an Inovar company, specializes in providing innovative labeling and packaging solutions that enhance brand visibility. They offer a wide range of high-performance products, including pressure-sensitive labels, warehouse loc            ..."
qilin,Bay West,2025-10-15 00:00:00.000000,,Not Found,,,"Bay West LLC provides environmental consulting and remediation services for government and commercial enterprises. The company offers services in the areas of industrial storm water permitting and consulting; brownfield site assessment, clean            ..."
qilin,Buanderie Blanchelle,2025-10-15 00:00:00.000000,CA,Not Found,,,"Buanderie Blanchelle specializes in the provision and maintenance of hospital textile products, offering a comprehensive turnkey service that includes product supply, post-use recovery, and distribution at a single per-kilogram rate. They pro            ..."
qilin,Rasi Laboratories,2025-10-15 00:00:00.000000,IN,Healthcare,,,"Rasi Laboratories, USA -  a manufacturer and developer of nutraceuticals, specializing in dietary supplements like capsules, tablets, probiotics, and functional foods.  Their facility in Cranbury, New Jersey, spans 198,500 square feet and is             ..."
qilin,M&E Global Group,2025-10-14 00:00:00.000000,US,Not Found,,,"M&E Global Group, Inc. USA -  specializes in point of purchase display and store fixture manufacturing, offering comprehensive services from design to production and fulfillment. Another part of this business is the production of parts such a            ..."
qilin,DV Hardwoods,2025-10-14 00:00:00.000000,CA,Manufacturing,,,"DV Hardwoods, Canada -  an undisputed leader in the hardwood lumber sector. In short, the company destroys forests in the country and sells them abroad – to the US and other countries. The company harvests traditional Canadian maple, birch,            ..."
qilin,Force Marketing,2025-10-14 00:00:00.000000,US,Technology,,,"Force Marketing, USA - Founded in 2006, Force Marketing is a leading marketing technology provider to the automotive industry, whose Helix Technologies, WeDrive Automotive and DRIVE video technology brands deliver combined synergies to optimi            ..."
qilin,Clifford Paper,2025-10-14 00:00:00.000000,US,Manufacturing,,,"Clifford Paper is a family-owned business with a deep legacy in the forest products industry, operating since 1985. They specialize in providing paper products and value-added services, focusing on production management and packaging solution            ..."
qilin,Alu Perpignan,2025-10-14 00:00:00.000000,FR,Not Found,,,"ALU Perpignan specializes in PVC and aluminum joinery for individuals and professionals, working on both residential and commercial projects. Drawing on its expertise and know-how, the company offers a wide range of products, including window            ..."
qilin,Executive Cabinetry,2025-10-14 00:00:00.000000,US,Manufacturing,,,"Located in Simpsonville, South Carolina, Executive Cabinetry is an industry leader in semi-custom and custom cabinetry. The Executive Cabinetry facility encompasses 226,000 square feet of vertically integrated manufacturing space. Simply stat            ..."
qilin,Pro-Fab,2025-10-14 00:00:00.000000,CA,Not Found,,,"Pro Fab, Inc. specializes in custom design and fabrication products and services primarily for cleanrooms and industries such as semiconductor manufacturing, medical pharmaceutical labs, and American defense. They offer a wide range of produc            ..."
qilin,Volkswagen Group France,2025-10-14 00:00:00.000000,FR,Manufacturing,,,"Volkswagen Group France, a subsidiary of Volkswagen AG, is a prominent player in the automotive industry committed to sustainable mobility. The company focuses on innovation and environmental responsibility through its six brands, addressing             ..."
qilin,Kecy Metal Technologies,2025-10-14 00:00:00.000000,US,Manufacturing,,,"Kecy Metal Technologies (formerly Kecy Corporation) was established in 1988 as a supplier of NVH components for Tier 1 Japanese transplants. Kecy has since doubled its capacity to 160,000 ft and consistently increased sales year over year. Ke            ..."
qilin,WebCut Converting,2025-10-14 00:00:00.000000,US,Manufacturing,,,"WebCut Converting, Inc. specializes in contract slitting, laminating, and sheeting services tailored for the printing, converting, medical, and industrial markets. They process a variety of substrates including films, foams, non-wovens, and p            ..."
qilin,"BHI Co., Ltd.",2025-10-13 00:00:00.000000,KR,Not Found,,,"BHI Co., Ltd. engages in the manufacturing and supplying of power plant equipment worldwide. It offers pulverized coal fired boilers, heat recovery steam generators, circulating fluidized bed combustion boilers, oil and gas boilers, industria            ..."
qilin,Dynamic Precision Sverige,2025-10-12 00:00:00.000000,SE,Manufacturing,,,"Dynamic Precision Sverige, Norway - is a company that operates in the Electronics industry. The company designs and builds complex microelectronics, starting from an idea, through prototyping and production line development to a mass producti            ..."
qilin,Atarfil,2025-10-11 00:00:00.000000,ES,Manufacturing,,,"Atarfil Sl is a company that operates in the Repair Services industry. It employs 50to99 people and has 10Mto25M of revenue. The company is headquartered in Atarfe, Andalusia, Spain"
qilin,Artan Holding,2025-10-10 00:00:00.000000,QA,Not Found,,,"Artan Holding is a Qatari family-owned holding company with a diverse portfolio of leading businesses in the Education, Real Estate, and Industrial sectors operating primarily in Qatar. Since its founding more than 25 years ago Artan Holding             ..."
qilin,Midsun Group,2025-10-09 00:00:00.000000,US,Manufacturing,,,"Midsun Group, USA specializes in extending the life of power utility equipment through premium silicone covers and coatings. Their innovative products provide solutions for wildlife intrusion and environmental contamination, enhancing reliabi            ..."
qilin,kecymetals.com,2025-10-04 00:00:00.000000,US,Manufacturing,,,"Kecy Metal Technologies, USA - Terrible management, outdated equipment, uncompetitive salaries. This is how employees describe working conditions at Kecy Metal Technologies on condition of anonymity. The company was founded in 1988 in Michiga            ..."
qilin,Beta Dyne,2025-10-03 00:00:00.000000,US,Technology,,,"Beta Dyne, USA - develops and manufactures electrical equipment for the industrial plants, communications и medical. With over 20 years in the power industry, Beta Dyne, Inc. has developed a wide range of unique and high performance power pr            ..."
qilin,"Asahi Group Holdings, Ltd.",2025-09-28 00:00:00.000000,JP,Agriculture and Food Production,,,"Asahi Group Holdings, Japan - a leading manufacturer of beer and non-alcoholic beverages in Japan. Asahi is headquartered in Sumida, Tokyo. It ranked 593rd on the Forbes Global 2000 list of the world's largest companies in 2023. The company's            ..."
qilin,Asahi Group Holdings,2025-09-28 00:00:00.000000,JP,Agriculture and Food Production,,,"Asahi Group Holdings, founded in 1889 and headquartered in Tokyo, Japan, is a global food and beverage manufacturer specializing in both alcoholic and non-alcoholic beverages as well as snack products. The company operates across multiple int            ..."
qilin,grupobocel.com,2025-09-25 00:00:00.000000,CO,Not Found,,,"Grupo Bocel is a holding company comprising two companies: La Dominicana Industrial and Molinos Valle del Cibao, located in Santiago de los Caballeros, Dominican Republic.La Dominicana Industrial manufactures and sells pasta, while Molinos Va            ..."
qilin,oconnorcp.com,2025-09-25 00:00:00.000000,,Not Found,,,"O'Connor Capital Partners is a real estate investment company specializing in retail, office, industrial, residential, and multifamily properties in major cities across North America and Europe. The company was founded in 1983 and is headquar            ..."
qilin,www.chinup.com.tw,2025-09-23 00:00:00.000000,TW,Not Found,,,"Chinup Technology Co., Taiwan - Chinup specializes in manufacturing Cutting Presses, Die Cutting Machines, Automated Cutting Systems, and Card Processing Machinery. Established in 2001, the company expanded its expertise to include solar modu            ..."
qilin,www.apm-finance.de,2025-09-23 00:00:00.000000,DE,Financial Services,,,"APM Finance GmbH, Germany specializes in outsourced accounting services specifically designed for the automotive industry. The company offers comprehensive accounting, payroll, management accounting, and control consulting services. The compa            ..."
qilin,cegconstruction.com,2025-09-20 00:00:00.000000,US,Construction,,,CEG Construction is on a path to self-destruction. This company is an industrial contractor based in Southern California that specializes in the construction of concrete warehouses and food processing facilities. They offer comprehensive desi            ...
qilin,XCAssociates,2025-09-17 00:00:00.000000,,Not Found,,,"XC Associates, USA specializes in the design and manufacturing of advanced carbon glass fiber composites tailored for various high-performance industries including medical, aerospace, energy, and consumer sectors. They offer a comprehensive r            ..."
qilin,denali-industrial.com,2025-09-12 00:00:00.000000,US,Manufacturing,,,"Denali Industrial Supply - a knockout blow to its reputation. For 35 years, Denali Industrial Supply has been a supplier of high-quality industrial tools, fasteners, and accessories in Alaska. They work with many well-known manufacturers, inc            ..."
qilin,smpeurope.com,2025-09-12 00:00:00.000000,GB,Manufacturing,,,"SMP EUROPE, a family-owned business based in Nottingham, has been supplying engine management and ignition components to original equipment manufacturers and the aftermarket for over 50 years. We have achieved success in a competitive market             ..."
qilin,Frisquet,2025-09-12 00:00:00.000000,FR,Manufacturing,,,"Frisquet, France - is a manufacturer specializing in gas boilers and renewable energy solutions, offering a range of products including heat pumps, hot water tanks, and hybrid systems. Their offerings are aimed at both residential and collect            ..."
qilin,Pieffe Auto Group,2025-09-11 00:00:00.000000,IT,Not Found,,,"Pieffe Auto Group is a leading multi-brand automotive dealership network based in the Abruzzo region of Italy. 
The group represents a wide portfolio of car brands, including Peugeot, Citroën, DS Automobiles, Opel, Fiat, Jeep, Alfa Romeo, H            ..."
qilin,Mechatronics,2025-09-06 00:00:00.000000,,Technology,,,"Mechatronics, Inc. USA specializes in providing a wide range of AC, DC, and EC fans and blowers, including accessories and custom assemblies, catering to industries such as telecom, medical, industrial, alternative energy, lighting displays,             ..."
qilin,regalmold.com,2025-09-04 00:00:00.000000,US,Manufacturing,,,"We design and manufacture custom molds, components, and many other types of tools and assemblies for a wide range of customers.To manufacture custom products, we use precision machining on CNC machines, 5-axis machining, electrical discharge             ..."
qilin,flamgard.co.uk,2025-09-03 00:00:00.000000,GB,Manufacturing,,,"Flamgard Calidair, UK is global force in the design, innovation, and manufacture of high-integrity damper products for numerous applications including tunnels, marine vessels, and nuclear power stations. Now multiple buildings where Flamgard             ..."
qilin,L&S Proline,2025-08-30 00:00:00.000000,,Not Found,,,"L&S Proline, USA - Drill, baby, drill! L&S Proline is a full-service company specializing in solutions for the oil and gas industry, offering a range of products and services, including measurement control equipment, structural fabrication, a            ..."
qilin,Rivertown Surgey Center,2025-08-30 00:00:00.000000,US,Healthcare,,,"Rivertown Surgery Center is a Medicare-certified ambulatory surgical center specializing in outpatient procedures.
The facility offers general surgery, pain management, foot surgery, and radiology services, supported by modern equipment.
It            ..."
qilin,nrlassoc.com,2025-08-25 00:00:00.000000,US,Not Found,,,"NRL Associates, Inc. USA. The company manufactures machine tooled parts for a variety of customers. 10 years ago, the company significantly expanded and moved into a new 55,000 square foot state-of-the-art facility. They now have the most mod            ..."
qilin,hydrometrics.com,2025-08-25 00:00:00.000000,US,Technology,,,"Hydrometrics, Inc., USA delivers professional scientific and engineering services to various sectors including industrial, commercial, municipal, and private clients across the United States. With over 40 years of experience, the company spec            ..."
qilin,gibbswire.com,2025-08-25 00:00:00.000000,US,Manufacturing,,,"Gibbs Interwire, USA, is the nation's leading processor and distributor of Strip Coil and Wire Products in Stainless Steel, Carbon Steel, Nickel Alloys, and Red Metals. The company is continually growing and increasing production capacity thr            ..."
qilin,Osaki Medical,2025-08-24 00:00:00.000000,JP,Healthcare,,,"Osaki Medical is a Japanese company, established in 1936, that manufactures and markets safe, functional, and cost-effective medical supplies, sanitary materials, cosmetics, and medical equipment for the medical and nursing care industries. T            ..."
qilin,www.gillette-ac.com,2025-08-21 00:00:00.000000,US,Not Found,,,"Gillette Air Conditioning Company, USA specializes in air conditioning, heating, refrigeration, and boilers for commercial and industrial facilities. The company prides itself on safety, quality, and productivity, utilizing advanced technolog            ..."
qilin,www.greneker.com,2025-08-21 00:00:00.000000,US,Manufacturing,,,"Greneker, USA - boobs and slaves. The company manufactures mannequins for clothing stores and entertainment centers. Its clients include major international brands such as Disney and Under Armour. The published date reveals the unpleasant sid            ..."
qilin,idscorporation.com,2025-08-20 00:00:00.000000,JP,Technology,,,"It is a systems engineering company providing consulting, design, and manufacturing services for a wide range of airborne and ground-based unmanned systems.
1.Technical appendix with a statement of compliance with the requirements of the Ken            ..."
qilin,lee-irvine.com,2025-08-20 00:00:00.000000,US,Not Found,,,"Lee & Associates Irvine Inc. is a law firm specializing in representing clients in the acquisition, sale, and leasing of various commercial real estate properties, including industrial, office, retail, and medical properties.
1.The document             ..."
qilin,welldone.com.tw,2025-08-20 00:00:00.000000,TW,Manufacturing,,,"Welldone Company is the first legal remittance company for migrant workers in Taiwan：
Approved by the Financial Supervisory Commission to conduct financial technology innovation experiments for migrant workers’remittances in 2018.
Obtai            ..."
qilin,diversifiedcpc.com,2025-08-18 00:00:00.000000,US,Manufacturing,,,"Diversified CPC International, USA manufactures products whose name is not known to the general public. The company is a world leader in the development, manufacture and distribution of aerosol propellants, hydrocarbon refrigerants, biomass s            ..."
qilin,Nissan CBI,2025-08-16 00:00:00.000000,JP,Manufacturing,,,"The ""Nissan Creative Box"" refers to a design studio in Tokyo, previously known as a satellite design base for Nissan, and is now part of the larger Nissan design network. 
It is located in the Harajuku district of Tokyo. 
The studio was est            ..."
qilin,marma.com.pl,2025-08-15 00:00:00.000000,PL,Not Found,,,"MARMA Polskie Folie is one of the largest plastics processors in Europe. The company produces products for agriculture, horticulture, construction and packaging industries. Internally, the company employs more than 1,000 people. On 08/8/25, t            ..."
qilin,ethicalpackaging.co.uk,2025-08-13 00:00:00.000000,UK,Manufacturing,,,"Ethical Packaging, UK, is a company that provides printing services and packaging production. The company works with world-renowned brands such as Hermes and the Ferrero Group. Thanks to the publication of the company's internal data, anyone             ..."
qilin,Uganda Electricity Transmission Company Limited,2025-08-12 00:00:00.000000,UG,Energy,,,Uganda Electricity Transmission Company Limited organizes the delivery of electricity within the country and to nearby countries. the company actively cooperates with other countries such as the USA. UETCL buys technology and equipment from t            ...
